Participant,Condition,NumbersTotal,ErrorsTotal,ErrorRate,Corrections,Reveals,Country,Sex,NormalVision,NumpadUse,CalcFamiliar,ExpHealthcare,FamiliarPump,TaskDifficult,FocusedOnTask,EffortTask,EnjoyTask,FeelMadeAnError,DidMemoriseNumbers,cheerful,relaxed,active,attentive,alert,energetic,excited,happy,sociable,tired,amicable,exhausted
1,1,84,6,0.07,17,0,UK,male,Yes,rarely used,Yes,No,Yes,2,4,4,3,3,3,4,3,2,3,3,2,2,4,3,4,3,3
2,2,82,9,0.11,0,5,UK,male,Yes,never used,Yes,No,Yes,2,4,4,3,5,5,4,4,2,3,2,3,3,4,4,4,5,3
3,1,98,3,0.03,13,0,UK,male,No,often used,Yes,No,No,3,4,4,4,3,1,2,4,1,3,3,2,2,4,4,4,3,2
4,2,78,5,0.06,7,0,UK,male,Yes,rarely used,Yes,No,No,2,4,5,4,4,3,4,3,4,4,2,4,2,4,4,4,3,2
5,1,81,6,0.07,6,0,UK,male,Yes,rarely used,Yes,No,No,2,3,3,3,5,1,3,2,1,2,2,2,2,4,3,5,1,4
6,2,94,9,0.10,3,0,UK,male,Yes,often used,Yes,No,Yes,3,4,5,2,5,3,3,3,2,4,4,2,2,3,4,4,3,4
7,1,62,2,0.03,6,0,UK,male,No,rarely used,Yes,No,No,2,4,4,3,3,1,4,4,4,4,4,3,3,4,4,4,4,2
8,1,64,2,0.03,4,0,Bulgaria,male,Yes,sometimes used,Yes,No,No,2,4,4,4,2,2,2,3,1,2,3,2,2,4,3,4,3,3
9,2,89,17,0.19,0,0,Malaysia,male,Yes,rarely used,Yes,No,Yes,2,2,2,3,4,1,4,4,3,3,3,4,1,3,4,1,3,1
10,1,79,0,0.00,11,0,UK,male,Yes,sometimes used,Yes,No,Yes,2,5,4,4,1,3,4,4,4,4,4,4,3,5,4,2,3,1
11,2,78,19,0.24,6,0,UK,male,Yes,sometimes used,Yes,No,No,2,3,4,3,3,4,4,4,3,4,4,3,3,4,2,4,3,1
12,2,79,23,0.29,10,0,UK,male,Yes,rarely used,Yes,No,No,2,4,4,3,2,3,3,3,3,4,4,4,3,3,3,2,3,1
13,1,74,9,0.12,7,0,HongKong,male,Yes,often used,Yes,No,No,3,4,4,2,3,1,1,1,1,3,3,1,4,2,3,5,3,1
14,2,83,9,0.11,0,0,Vietnam,female,Yes,rarely used,Yes,No,No,1,4,5,4,2,4,3,2,2,2,2,2,2,2,2,4,2,2
15,1,87,1,0.01,12,0,UK,male,Yes,often used,Yes,No,Yes,1,2,2,1,2,1,5,5,2,1,1,2,1,1,4,5,3,5
16,1,61,1,0.02,8,0,UK,male,Yes,sometimes used,Yes,No,Yes,4,4,5,2,2,5,3,3,3,4,2,3,3,4,4,3,5,2
17,2,80,10,0.13,0,0,UK,male,Yes,never used,Yes,No,No,2,3,3,5,4,2,5,4,4,3,3,3,3,5,3,5,3,4
18,1,69,3,0.04,9,0,UK,male,Yes,rarely used,Yes,No,Yes,2,3,2,2,4,3,3,4,2,2,2,2,2,4,3,3,4,2
19,2,85,7,0.08,25,2,UK,male,Yes,never used,Yes,No,No,1,5,4,1,5,5,3,2,3,3,3,3,1,2,2,1,3,1
20,2,77,9,0.12,3,0,UK,female,Yes,rarely used,Yes,No,Yes,3,5,4,4,3,4,3,3,1,3,3,1,3,3,3,5,3,5
21,1,86,3,0.03,7,0,NA,female,Yes,often used,Yes,Yes,No,2,4,5,1,3,3,2,3,1,2,1,2,2,3,1,4,3,4
22,2,75,0,0.00,5,5,UK,male,Yes,sometimes used,Yes,Yes,Yes,2,5,5,4,2,5,5,5,4,4,4,4,4,5,4,2,5,1
23,1,86,2,0.02,5,0,UK,male,Yes,rarely used,Yes,No,No,3,5,5,3,5,3,2,2,2,2,2,2,2,5,4,4,3,4
24,2,72,5,0.07,6,0,UK,male,Yes,often used,Yes,No,No,4,5,5,3,5,1,3,4,2,3,3,2,2,4,4,5,3,4
25,1,101,21,0.21,1,0,NA,male,Yes,sometimes used,Yes,No,No,3,4,4,3,4,3,5,5,3,3,3,4,4,5,5,3,5,1
26,2,77,2,0.03,5,0,UK,male,Yes,often used,Yes,No,No,2,5,4,3,5,4,3,1,5,5,5,4,3,2,1,1,2,1
27,2,91,5,0.05,35,3,NA,female,Yes,never used,No,No,No,3,3,3,3,4,2,3,3,3,3,3,3,2,3,3,3,3,2
28,1,65,4,0.06,6,0,UK,male,Yes,rarely used,Yes,Yes,No,2,3,4,3,5,2,4,3,1,3,2,3,3,5,5,4,5,4
29,2,93,4,0.04,4,0,UK,male,Yes,rarely used,Yes,No,Yes,3,5,5,4,2,3,5,5,5,4,4,4,3,5,4,2,5,1
